timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments audittype auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20171213_173001 50 1 3 3 100000 919028296 350 10000 0 9577 6216 350 9 10000 1 TOTAL 26121 18056 8065 336 0 0 0 0 0 100000 50000 50 5000 1 2 0 2 35 35.512 33.315003 ../shocks/low/span1/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh50000i50s1m5000_sdl100000_seed919028296.log 22301609 hl-extractinstructions.txt 20171213_173159 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.074 4614c676acd95cc313377c68267eeeba51e0e812_1
20171213_173006 50 1 3 3 100000 117661523 1294 10000 0 8983 9153 1294 9 10000 1 TOTAL 27535 20235 7300 221 0 0 0 0 0 100000 50000 50 5000 1 2 1 3 30 37.447 35.261281 ../shocks/low/span1/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh50000i50s1m5000_sdl100000_seed117661523.log 20904633 hl-extractinstructions.txt 20171213_173200 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.074 4614c676acd95cc313377c68267eeeba51e0e812_5
20171213_173002 50 1 3 3 100000 103765041 1301 10000 0 8073 9159 1301 9 10000 1 TOTAL 21779 14633 7146 1293 0 0 0 0 0 100000 50000 50 5000 1 2 3 4 40 35.768 33.608892 ../shocks/low/span1/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh50000i50s1m5000_sdl100000_seed103765041.log 25652947 hl-extractinstructions.txt 20171213_173208 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.074 4614c676acd95cc313377c68267eeeba51e0e812_2
20171213_173008 50 1 3 3 100000 967561224 1194 10000 0 9535 4145 1194 9 10000 1 TOTAL 25048 20156 4892 1184 0 0 0 0 0 100000 50000 50 5000 1 2 1 2 38 37.881 35.608611 ../shocks/low/span1/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh50000i50s1m5000_sdl100000_seed967561224.log 21204490 hl-extractinstructions.txt 20171213_173209 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.074 4614c676acd95cc313377c68267eeeba51e0e812_7
20171213_173003 50 1 3 3 100000 141246882 454 10000 0 9192 6790 454 9 10000 1 TOTAL 24351 14863 9488 440 0 0 0 0 0 100000 50000 50 5000 1 2 2 3 37 38.085 36.011519 ../shocks/low/span1/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh50000i50s1m5000_sdl100000_seed141246882.log 24456891 hl-extractinstructions.txt 20171213_173211 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.074 4614c676acd95cc313377c68267eeeba51e0e812_3
20171213_173010 50 1 3 3 100000 263688301 237 10000 0 9887 4006 237 9 10000 1 TOTAL 27460 20350 7110 224 0 0 0 0 0 100000 50000 50 5000 1 2 0 1 36 39.327 37.312775 ../shocks/low/span1/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh50000i50s1m5000_sdl100000_seed263688301.log 19906743 hl-extractinstructions.txt 20171213_173212 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.074 4614c676acd95cc313377c68267eeeba51e0e812_9
20171213_173007 50 1 3 3 100000 105731136 335 10000 0 9469 6227 335 9 10000 1 TOTAL 26189 17823 8366 326 0 0 0 0 0 100000 50000 50 5000 1 2 1 2 36 40.057 37.945574 ../shocks/low/span1/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh50000i50s1m5000_sdl100000_seed105731136.log 22350739 hl-extractinstructions.txt 20171213_173216 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.074 4614c676acd95cc313377c68267eeeba51e0e812_6
20171213_173015 50 1 3 3 100000 664375964 233 10000 0 9805 3898 233 9 10000 1 TOTAL 27357 20528 6829 218 0 0 0 0 0 100000 50000 50 5000 1 2 0 1 30 42.068 40.104649 ../shocks/low/span1/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh50000i50s1m5000_sdl100000_seed664375964.log 19891600 hl-extractinstructions.txt 20171213_173223 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.074 4614c676acd95cc313377c68267eeeba51e0e812_14
20171213_173009 50 1 3 3 100000 420477893 1283 10000 0 9253 5109 1283 9 10000 1 TOTAL 23279 17158 6121 1272 0 0 0 0 0 100000 50000 50 5000 1 2 1 3 37 41.932 39.549712 ../shocks/low/span1/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh50000i50s1m5000_sdl100000_seed420477893.log 23367083 hl-extractinstructions.txt 20171213_173224 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.074 4614c676acd95cc313377c68267eeeba51e0e812_8
20171213_173024 50 1 3 3 100000 103765041 10000 10000 0 6000 3988 10000 9 10000 1 TOTAL 13459 7893 5566 10000 0 0 0 0 0 100000 50000 90 5000 1 2 4 5 41 35.746 32.929147 ../shocks/low/span1/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh50000i90s1m5000_sdl100000_seed103765041.log 20055750 hl-extractinstructions.txt 20171213_173228 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.074 ca730fcd4dd3ffa2fec03c9f777e4c2925a2f2d3_2
