timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20170731_183230 50 1 1 1000 100000 103765041 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 0 0 0 0 2 0 1 22 3.701 1.922 ../shockspan1/noshocks/log/doc50cop1shlf1lif1000_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl100000_seed103765041.log 12997 hl-extractinstructions.txt 20170731_183241 0.6_20170522 GenuineIntel_fam6mod69step1cor2spd2394.000 ca271fd341a2ea6cfeb1247a902e4a045fcfef13_2
20170731_183234 50 1 1 1000 100000 681028781 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 0 0 0 0 2 0 1 25 2.981 1.609 ../shockspan1/noshocks/log/doc50cop1shlf1lif1000_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl100000_seed681028781.log 13011 hl-extractinstructions.txt 20170731_183245 0.6_20170522 GenuineIntel_fam6mod69step1cor2spd2394.000 ca271fd341a2ea6cfeb1247a902e4a045fcfef13_4
20170731_183231 50 1 1 1000 100000 141246882 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 0 0 0 0 2 0 1 22 4.424 2.36 ../shockspan1/noshocks/log/doc50cop1shlf1lif1000_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl100000_seed141246882.log 12992 hl-extractinstructions.txt 20170731_183244 0.6_20170522 GenuineIntel_fam6mod69step1cor2spd2394.000 ca271fd341a2ea6cfeb1247a902e4a045fcfef13_3
20170731_183246 50 1 1 1000 100000 117661523 41 10000 9959 0 0 41 9 10000 1 0 0 0 36 0 0 0 0 0 100000 0 0 0 0 2 0 0 16 3.875 2.0 ../shockspan1/noshocks/log/doc50cop1shlf1lif1000_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl100000_seed117661523.log 12943 hl-extractinstructions.txt 20170731_183257 0.6_20170522 GenuineIntel_fam6mod69step1cor2spd2394.000 ca271fd341a2ea6cfeb1247a902e4a045fcfef13_5
20170731_183248 50 1 1 1000 100000 105731136 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 0 0 0 0 2 0 1 21 2.708 1.141 ../shockspan1/noshocks/log/doc50cop1shlf1lif1000_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl100000_seed105731136.log 12988 hl-extractinstructions.txt 20170731_183259 0.6_20170522 GenuineIntel_fam6mod69step1cor2spd2394.000 ca271fd341a2ea6cfeb1247a902e4a045fcfef13_6
20170731_183311 50 1 1 1000 100000 967561224 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 0 0 0 0 2 0 1 21 3.811 2.328 ../shockspan1/noshocks/log/doc50cop1shlf1lif1000_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl100000_seed967561224.log 12993 hl-extractinstructions.txt 20170731_183322 0.6_20170522 GenuineIntel_fam6mod69step1cor2spd2394.000 ca271fd341a2ea6cfeb1247a902e4a045fcfef13_7
20170731_183312 50 1 1 1000 100000 420477893 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 0 0 0 0 2 0 1 21 2.969 1.547 ../shockspan1/noshocks/log/doc50cop1shlf1lif1000_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl100000_seed420477893.log 12991 hl-extractinstructions.txt 20170731_183323 0.6_20170522 GenuineIntel_fam6mod69step1cor2spd2394.000 ca271fd341a2ea6cfeb1247a902e4a045fcfef13_8
20170731_183324 50 1 1 1000 100000 263688301 30 10000 9970 0 0 30 9 10000 1 0 0 0 26 0 0 0 0 0 100000 0 0 0 0 2 0 0 19 3.033 1.828 ../shockspan1/noshocks/log/doc50cop1shlf1lif1000_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl100000_seed263688301.log 12964 hl-extractinstructions.txt 20170731_183335 0.6_20170522 GenuineIntel_fam6mod69step1cor2spd2394.000 ca271fd341a2ea6cfeb1247a902e4a045fcfef13_9
20170731_183326 50 1 1 1000 100000 50746969 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 0 0 0 0 2 0 1 26 2.372 1.172 ../shockspan1/noshocks/log/doc50cop1shlf1lif1000_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl100000_seed50746969.log 13015 hl-extractinstructions.txt 20170731_183336 0.6_20170522 GenuineIntel_fam6mod69step1cor2spd2394.000 ca271fd341a2ea6cfeb1247a902e4a045fcfef13_10
20170731_183338 50 1 1 1000 100000 533657980 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 0 0 0 0 2 0 1 27 2.533 1.266 ../shockspan1/noshocks/log/doc50cop1shlf1lif1000_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl100000_seed533657980.log 13008 hl-extractinstructions.txt 20170731_183348 0.6_20170522 GenuineIntel_fam6mod69step1cor2spd2394.000 ca271fd341a2ea6cfeb1247a902e4a045fcfef13_11
20170731_183339 50 1 1 1000 100000 711283608 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 0 0 0 0 2 0 1 17 2.302 1.0 ../shockspan1/noshocks/log/doc50cop1shlf1lif1000_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl100000_seed711283608.log 12953 hl-extractinstructions.txt 20170731_183349 0.6_20170522 GenuineIntel_fam6mod69step1cor2spd2394.000 ca271fd341a2ea6cfeb1247a902e4a045fcfef13_12
20170731_183351 50 1 1 1000 100000 597296547 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 0 0 0 0 2 0 1 26 3.413 1.985 ../shockspan1/noshocks/log/doc50cop1shlf1lif1000_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl100000_seed597296547.log 13022 hl-extractinstructions.txt 20170731_183402 0.6_20170522 GenuineIntel_fam6mod69step1cor2spd2394.000 ca271fd341a2ea6cfeb1247a902e4a045fcfef13_13
20170731_183352 50 1 1 1000 100000 664375964 42 10000 9958 0 0 42 9 10000 1 0 0 0 36 0 0 0 0 0 100000 0 0 0 0 2 0 0 14 3.121 1.718 ../shockspan1/noshocks/log/doc50cop1shlf1lif1000_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl100000_seed664375964.log 12940 hl-extractinstructions.txt 20170731_183403 0.6_20170522 GenuineIntel_fam6mod69step1cor2spd2394.000 ca271fd341a2ea6cfeb1247a902e4a045fcfef13_14
20170731_183404 50 1 1 1000 100000 258760793 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 0 0 0 0 2 0 1 22 2.991 1.47 ../shockspan1/noshocks/log/doc50cop1shlf1lif1000_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl100000_seed258760793.log 12991 hl-extractinstructions.txt 20170731_183415 0.6_20170522 GenuineIntel_fam6mod69step1cor2spd2394.000 ca271fd341a2ea6cfeb1247a902e4a045fcfef13_15
