timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments audittype auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20171220_233454 50 1 3 3 100000 967561224 10000 10000 0 4520 652 10000 9 10000 1 TOTAL 6460 5140 1320 10000 0 0 0 0 0 100000 20000 90 5000 2 2 4 3 39 18.303 15.631361 ../shocks/low/span2/2yr/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i90s2m5000_sdl100000_seed967561224.log 10033287 hl-extractinstructions.txt 20171220_233604 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.066 58e15e0ea3d6049531a9ec97e0c893429da3b190_7
20171220_233432 50 1 3 3 100000 967561224 10000 10000 0 7708 3091 10000 9 10000 1 TOTAL 17951 12877 5074 10000 0 0 0 0 0 100000 20000 50 5000 2 2 7 4 40 29.772 26.623611 ../shocks/low/span2/2yr/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m5000_sdl100000_seed967561224.log 19368732 hl-extractinstructions.txt 20171220_233616 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.066 8412b1d5d3f172c841b746e29222891ad05af9ce_7
20171220_233426 50 1 3 3 100000 919028296 1275 10000 0 9452 4890 1275 9 10000 1 TOTAL 23779 17817 5962 1265 0 0 0 0 0 100000 20000 50 5000 2 2 1 3 36 36.233 33.788779 ../shocks/low/span2/2yr/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m5000_sdl100000_seed919028296.log 23169734 hl-extractinstructions.txt 20171220_233626 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.066 8412b1d5d3f172c841b746e29222891ad05af9ce_1
20171220_233428 50 1 3 3 100000 141246882 1391 10000 0 7387 8669 1391 9 10000 1 TOTAL 20421 13771 6650 1384 0 0 0 0 0 100000 20000 50 5000 2 2 4 4 38 38.378 36.003546 ../shocks/low/span2/2yr/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m5000_sdl100000_seed141246882.log 24516673 hl-extractinstructions.txt 20171220_233639 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.066 8412b1d5d3f172c841b746e29222891ad05af9ce_3
20171220_233523 50 1 3 3 100000 666549275 10000 10000 0 4575 616 10000 9 10000 1 TOTAL 6498 5250 1248 10000 0 0 0 0 0 100000 20000 90 5000 2 2 5 3 41 13.388 11.34298 ../shocks/low/span2/2yr/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i90s2m5000_sdl100000_seed666549275.log 10279915 hl-extractinstructions.txt 20171220_233642 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.066 58e15e0ea3d6049531a9ec97e0c893429da3b190_16
20171220_233446 50 1 3 3 100000 792850679 10000 10000 0 4482 3947 10000 9 10000 1 TOTAL 10319 5152 5167 10000 0 0 0 0 0 100000 20000 50 5000 2 2 3 5 41 31.023 28.592209 ../shocks/low/span2/2yr/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m5000_sdl100000_seed792850679.log 18384213 hl-extractinstructions.txt 20171220_233642 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.066 8412b1d5d3f172c841b746e29222891ad05af9ce_21
20171220_233443 50 1 3 3 100000 817713633 123 10000 341 9440 2733 123 9 10000 1 TOTAL 28658 23062 5596 113 0 0 0 0 0 100000 20000 50 5000 2 2 2 0 32 43.176 40.853433 ../shocks/low/span2/2yr/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m5000_sdl100000_seed817713633.log 17395910 hl-extractinstructions.txt 20171220_233649 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.066 8412b1d5d3f172c841b746e29222891ad05af9ce_18
20171220_233434 50 1 3 3 100000 263688301 428 10000 0 8662 9679 428 9 10000 1 TOTAL 26054 17853 8201 330 0 0 0 0 0 100000 20000 50 5000 2 2 2 3 37 43.706 41.346528 ../shocks/low/span2/2yr/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m5000_sdl100000_seed263688301.log 22225997 hl-extractinstructions.txt 20171220_233651 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.066 8412b1d5d3f172c841b746e29222891ad05af9ce_9
20171220_233433 50 1 3 3 100000 420477893 2265 10000 0 7790 8130 2265 9 10000 1 TOTAL 19020 13974 5046 2179 0 0 0 0 0 100000 20000 50 5000 2 2 3 6 39 40.836 38.316965 ../shocks/low/span2/2yr/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m5000_sdl100000_seed420477893.log 25478377 hl-extractinstructions.txt 20171220_233654 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.066 8412b1d5d3f172c841b746e29222891ad05af9ce_8
20171220_233427 50 1 3 3 100000 103765041 1597 10000 0 6890 8848 1597 9 10000 1 TOTAL 19379 10066 9313 1585 0 0 0 0 0 100000 20000 50 5000 2 2 6 6 41 42.411 40.003211 ../shocks/low/span2/2yr/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m5000_sdl100000_seed103765041.log 29432661 hl-extractinstructions.txt 20171220_233701 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.066 8412b1d5d3f172c841b746e29222891ad05af9ce_2
20171220_233430 50 1 3 3 100000 117661523 649 10000 0 7791 9602 649 9 10000 1 TOTAL 23721 12928 10793 508 0 0 0 0 0 100000 20000 50 5000 2 2 4 5 30 44.112 41.772666 ../shocks/low/span2/2yr/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m5000_sdl100000_seed117661523.log 26930526 hl-extractinstructions.txt 20171220_233701 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.066 8412b1d5d3f172c841b746e29222891ad05af9ce_5
20171220_233520 50 1 3 3 100000 597296547 10000 10000 0 5929 2667 10000 9 10000 1 TOTAL 11605 7760 3845 10000 0 0 0 0 0 100000 20000 90 5000 2 2 2 4 43 20.837 18.952221 ../shocks/low/span2/2yr/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i90s2m5000_sdl100000_seed597296547.log 15881223 hl-extractinstructions.txt 20171220_233702 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.066 58e15e0ea3d6049531a9ec97e0c893429da3b190_13
20171220_233441 50 1 3 3 100000 666549275 1250 10000 0 9001 4896 1250 9 10000 1 TOTAL 22488 16669 5819 1239 0 0 0 0 0 100000 20000 50 5000 2 2 1 3 40 43.772 41.856277 ../shocks/low/span2/2yr/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m5000_sdl100000_seed666549275.log 22801538 hl-extractinstructions.txt 20171220_233705 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.066 8412b1d5d3f172c841b746e29222891ad05af9ce_16
20171220_233444 50 1 3 3 100000 519606501 351 10000 0 9752 4858 351 9 10000 1 TOTAL 27400 20423 6977 231 0 0 0 0 0 100000 20000 50 5000 2 2 1 2 34 44.892 42.648961 ../shocks/low/span2/2yr/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m5000_sdl100000_seed519606501.log 20885969 hl-extractinstructions.txt 20171220_233705 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.066 8412b1d5d3f172c841b746e29222891ad05af9ce_19
20171220_233437 50 1 3 3 100000 711283608 2287 10000 0 7139 8252 2287 9 10000 1 TOTAL 18164 13043 5121 2275 0 0 0 0 0 100000 20000 50 5000 2 2 1 5 33 44.364 42.282753 ../shocks/low/span2/2yr/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m5000_sdl100000_seed711283608.log 25613362 hl-extractinstructions.txt 20171220_233709 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.066 8412b1d5d3f172c841b746e29222891ad05af9ce_12
20171220_233436 50 1 3 3 100000 533657980 1500 10000 0 6851 8604 1500 9 10000 1 TOTAL 19349 11456 7893 1486 0 0 0 0 0 100000 20000 50 5000 2 2 2 5 42 44.225 42.338793 ../shocks/low/span2/2yr/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m5000_sdl100000_seed533657980.log 26736955 hl-extractinstructions.txt 20171220_233712 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.066 8412b1d5d3f172c841b746e29222891ad05af9ce_11
20171220_233447 50 1 3 3 100000 919028296 1275 10000 0 9452 4890 1275 9 10000 1 TOTAL 23779 17817 5962 1265 0 0 0 0 0 100000 20000 90 5000 2 2 1 3 36 45.071 42.94709 ../shocks/low/span2/2yr/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i90s2m5000_sdl100000_seed919028296.log 23169718 hl-extractinstructions.txt 20171220_233715 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.066 58e15e0ea3d6049531a9ec97e0c893429da3b190_1
20171220_233439 50 1 3 3 100000 664375964 1383 10000 0 8275 9185 1383 9 10000 1 TOTAL 22896 15444 7452 1373 0 0 0 0 0 100000 20000 50 5000 2 2 2 4 32 47.603 45.288765 ../shocks/low/span2/2yr/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m5000_sdl100000_seed664375964.log 26050716 hl-extractinstructions.txt 20171220_233716 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.066 8412b1d5d3f172c841b746e29222891ad05af9ce_14
20171220_233440 50 1 3 3 100000 258760793 2277 10000 0 7102 7909 2277 9 10000 1 TOTAL 17354 11518 5836 2265 0 0 0 0 0 100000 20000 50 5000 2 2 3 6 43 44.574 42.449465 ../shocks/low/span2/2yr/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m5000_sdl100000_seed258760793.log 27216973 hl-extractinstructions.txt 20171220_233717 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.066 8412b1d5d3f172c841b746e29222891ad05af9ce_15
20171220_233429 50 1 3 3 100000 681028781 1602 10000 0 5888 9185 1602 9 10000 1 TOTAL 18977 7690 11287 1597 0 0 0 0 0 100000 20000 50 5000 2 2 2 7 45 46.487 44.244504 ../shocks/low/span2/2yr/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m5000_sdl100000_seed681028781.log 32570437 hl-extractinstructions.txt 20171220_233719 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.066 8412b1d5d3f172c841b746e29222891ad05af9ce_4
20171220_233445 50 1 3 3 100000 715258232 572 10000 0 8118 9601 572 9 10000 1 TOTAL 24682 15161 9521 452 0 0 0 0 0 100000 20000 50 5000 2 2 1 4 37 48.084 46.069491 ../shocks/low/span2/2yr/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m5000_sdl100000_seed715258232.log 24586461 hl-extractinstructions.txt 20171220_233719 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.066 8412b1d5d3f172c841b746e29222891ad05af9ce_20
20171220_233431 50 1 3 3 100000 105731136 715 10000 0 5750 9571 715 9 10000 1 TOTAL 20670 7505 13165 702 0 0 0 0 0 100000 20000 50 5000 2 2 3 6 39 47.127 44.815213 ../shocks/low/span2/2yr/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m5000_sdl100000_seed105731136.log 31496111 hl-extractinstructions.txt 20171220_233720 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.066 8412b1d5d3f172c841b746e29222891ad05af9ce_6
20171220_233435 50 1 3 3 100000 50746969 3171 10000 0 6033 7842 3171 9 10000 1 TOTAL 14352 8672 5680 3163 0 0 0 0 0 100000 20000 50 5000 2 2 4 8 43 46.366 44.212602 ../shocks/low/span2/2yr/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m5000_sdl100000_seed50746969.log 30832724 hl-extractinstructions.txt 20171220_233721 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.066 8412b1d5d3f172c841b746e29222891ad05af9ce_10
20171220_233438 50 1 3 3 100000 597296547 1438 10000 0 7709 9225 1438 9 10000 1 TOTAL 21628 12788 8840 1426 0 0 0 0 0 100000 20000 50 5000 2 2 5 5 44 48.620 46.401639 ../shocks/low/span2/2yr/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m5000_sdl100000_seed597296547.log 28384344 hl-extractinstructions.txt 20171220_233723 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.066 8412b1d5d3f172c841b746e29222891ad05af9ce_13
20171220_233455 50 1 3 3 100000 420477893 3010 10000 0 7462 7229 3010 9 10000 1 TOTAL 16280 13130 3150 2927 0 0 0 0 0 100000 20000 90 5000 2 2 3 7 40 42.760 40.484753 ../shocks/low/span2/2yr/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i90s2m5000_sdl100000_seed420477893.log 25819628 hl-extractinstructions.txt 20171220_233725 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.066 58e15e0ea3d6049531a9ec97e0c893429da3b190_8
