timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments audittype auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20171230_223757 50 1 3 3 100000 420477893 10000 10000 0 6986 2916 10000 9 10000 1 TOTAL 14923 10436 4487 10000 0 0 0 0 0 100000 50000 50 5000 2 2 1 4 38 26.216 23.425012 ../shocks/low/span2/5yr/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh50000i50s2m5000_sdl100000_seed420477893.log 17766190 hl-extractinstructions.txt 20171230_223930 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.318 267e80580cf5b035c57c4cab6bc3d74295c33cf9_8
20171230_223754 50 1 3 3 100000 117661523 1262 10000 0 8983 9211 1262 9 10000 1 TOTAL 27535 20235 7300 221 0 0 0 0 0 100000 50000 50 5000 2 2 1 3 30 38.939 36.879247 ../shocks/low/span2/5yr/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh50000i50s2m5000_sdl100000_seed117661523.log 20916712 hl-extractinstructions.txt 20171230_223955 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.318 267e80580cf5b035c57c4cab6bc3d74295c33cf9_5
20171230_223750 50 1 3 3 100000 919028296 350 10000 0 9577 6216 350 9 10000 1 TOTAL 26121 18056 8065 336 0 0 0 0 0 100000 50000 50 5000 2 2 0 2 35 38.160 35.871763 ../shocks/low/span2/5yr/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh50000i50s2m5000_sdl100000_seed919028296.log 22301617 hl-extractinstructions.txt 20171230_223957 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.318 267e80580cf5b035c57c4cab6bc3d74295c33cf9_1
20171230_223758 50 1 3 3 100000 263688301 237 10000 0 9887 4006 237 9 10000 1 TOTAL 27460 20350 7110 224 0 0 0 0 0 100000 50000 50 5000 2 2 0 1 36 40.184 38.068585 ../shocks/low/span2/5yr/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh50000i50s2m5000_sdl100000_seed263688301.log 19906751 hl-extractinstructions.txt 20171230_224001 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.318 267e80580cf5b035c57c4cab6bc3d74295c33cf9_9
20171230_223811 50 1 3 3 100000 792850679 10000 10000 0 6897 2964 10000 9 10000 1 TOTAL 14731 10290 4441 10000 0 0 0 0 0 100000 50000 50 5000 2 2 2 4 41 31.346 28.743582 ../shocks/low/span2/5yr/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh50000i50s2m5000_sdl100000_seed792850679.log 17570024 hl-extractinstructions.txt 20171230_224004 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.318 267e80580cf5b035c57c4cab6bc3d74295c33cf9_21
20171230_223756 50 1 3 3 100000 967561224 1165 10000 0 9557 4248 1165 9 10000 1 TOTAL 25417 20415 5002 1159 0 0 0 0 0 100000 50000 50 5000 2 2 1 2 38 39.672 37.520217 ../shocks/low/span2/5yr/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh50000i50s2m5000_sdl100000_seed967561224.log 21366597 hl-extractinstructions.txt 20171230_224005 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.318 267e80580cf5b035c57c4cab6bc3d74295c33cf9_7
20171230_223755 50 1 3 3 100000 105731136 457 10000 0 8671 9664 457 9 10000 1 TOTAL 26189 17823 8366 326 0 0 0 0 0 100000 50000 50 5000 2 2 1 3 37 40.643 38.592555 ../shocks/low/span2/5yr/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh50000i50s2m5000_sdl100000_seed105731136.log 22366242 hl-extractinstructions.txt 20171230_224006 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.318 267e80580cf5b035c57c4cab6bc3d74295c33cf9_6
20171230_223807 50 1 3 3 100000 817713633 126 10000 305 9468 2797 126 9 10000 1 TOTAL 28846 23060 5786 108 0 0 0 0 0 100000 50000 50 5000 2 2 1 0 32 44.004 41.838993 ../shocks/low/span2/5yr/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh50000i50s2m5000_sdl100000_seed817713633.log 17478627 hl-extractinstructions.txt 20171230_224013 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.318 267e80580cf5b035c57c4cab6bc3d74295c33cf9_18
20171230_223751 50 1 3 3 100000 103765041 522 10000 0 7684 9657 522 9 10000 1 TOTAL 23357 12777 10580 511 0 0 0 0 0 100000 50000 50 5000 2 2 2 4 40 40.061 37.849058 ../shocks/low/span2/5yr/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh50000i50s2m5000_sdl100000_seed103765041.log 26912306 hl-extractinstructions.txt 20171230_224014 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.318 267e80580cf5b035c57c4cab6bc3d74295c33cf9_2
20171230_223803 50 1 3 3 100000 664375964 233 10000 0 9805 3898 233 9 10000 1 TOTAL 27357 20528 6829 218 0 0 0 0 0 100000 50000 50 5000 2 2 0 1 30 42.706 40.759641 ../shocks/low/span2/5yr/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh50000i50s2m5000_sdl100000_seed664375964.log 19891608 hl-extractinstructions.txt 20171230_224015 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.318 267e80580cf5b035c57c4cab6bc3d74295c33cf9_14
